uid,title,authors,source,year,doi,times_cited,author_keywords,document_type,wos_url,search_source
WOS:000362899600013,"Transport, unmet activity needs and wellbeing in later life: exploring the links","Nordbakke, Susanne; Schwanen, Tim",TRANSPORTATION,2015,10.1007/s11116-014-9558-x,135,Ageing; Wellbeing; Need; Norway,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000362899600013&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
WOS:000363482300011,Unmet Need for ADL Assistance Is Associated With Mortality Among Older Adults With Mild Disability,"He, Shuang; Craig, Bruce A.; Xu, Huiping; Covinsky, Kenneth E.; Stallard, Eric; Thomas, Joseph, III; Hass, Zach; Sands, Laura P.",JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,2015,10.1093/gerona/glv028,95,Activities of daily living; Mortality; Unmet need,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000363482300011&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
WOS:000367452300005,Unmet Assistance Need Among Older American Indians: The Native Elder Care Study,"Schure, Marc B.; Conte, Kathleen P.; Goins, R. Turner",GERONTOLOGIST,2015,10.1093/geront/gnt211,24,American Indians; Functional disability; Unmet assistance need; Social support,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000367452300005&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
WOS:000369586000044,The assessment of met and unmet care needs in the oldest old with and without depression using the Camberwell Assessment of Need for the Elderly (CANE): Results of the AgeMooDe study,"Stein, Janine; Pabst, Alexander; Weyerer, Siegfried; Werle, Jochen; Maier, Wolfgang; Hellmann, Katharina; Scherer, Martin; Stark, Anne; Kaduszkiewicz, Hanna; Wiese, Birgitt; Mamone, Silke; Koenig, Hans-Helmut; Bock, Jens-Oliver; Riedel-Heller, Steffi G.",JOURNAL OF AFFECTIVE DISORDERS,2016,10.1016/j.jad.2015.12.044,55,Camberwell Assessment of Need for the Elderly (CANE); Needs assessment; Depression; Elderly population; Health services research,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000369586000044&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
WOS:000374447800001,"Needs in Nursing Homes and Their Relation with Cognitive and Functional Decline, Behavioral and Psychological Symptoms","Ferreira, Ana Rita; Dias, Claudia Camila; Fernandes, Lia",FRONTIERS IN AGING NEUROSCIENCE,2016,10.3389/fnagi.2016.00072,43,needs assessment; CANE; elderly; nursing home; dementia; depression; behavioral and psychological symptoms; functional dependency,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000374447800001&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
WOS:000373412200017,What is the mechanism effect that links social support to coping and psychological outcome within individuals affected by prostate cancer? Real time data collection using mobile technology,"Paterson, Catherine; Jones, Martyn; Rattray, Janice; Lauder, William; Nabi, Ghulam",EUROPEAN JOURNAL OF ONCOLOGY NURSING,2016,10.1016/j.ejon.2015.09.002,18,Prostate cancer; Social support; Mobile technology; Coping; Psychological,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000373412200017&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
WOS:000383802300012,Psychosocial factors impacting on life transitions among young adults with type 2 diabetes: an Australian - Danish qualitative study,"Rasmussen, B.; Maindal, H. Terkildsen; Livingston, P.; Dunning, T.; Lorentzen, V.",SCANDINAVIAN JOURNAL OF CARING SCIENCES,2016,10.1111/scs.12248,20,diabetes; young adults; life transition; qualitative research; content analysis; Australia; Denmark,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000383802300012&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
WOS:000377573300002,Routine screening of Indigenous cancer patients' unmet support needs: a qualitative study of patient and clinician attitudes,"Thewes, B.; Davis, E.; Girgis, A.; Valery, P. C.; Giam, K.; Hocking, A.; Jackson, J.; He, V. Yf; Yip, D.; Garvey, G.",INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH,2016,10.1186/s12939-016-0380-2,14,Indigenous; Aboriginal; Cancer; Unmet needs; Feasibility,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000377573300002&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
WOS:000378595300007,"""You can't have them in here': experiences of accessing medication among older men on entry to prison","Sullivan, Victoria; Forsyth, Katrina; Hassan, Lamiece; O'Hara, Kate; Senior, Jane; Shaw, Jenny",AGEING & SOCIETY,2016,10.1017/S0144686X15000331,13,older prisoners; medication; prescribing,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000378595300007&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
WOS:000382266100013,Need and use of assistive devices for personal mobility by individuals with spinal cord injury,"Florio, Jordanne; Arnet, Ursina; Gemperli, Armin; Hinrichs, Timo",JOURNAL OF SPINAL CORD MEDICINE,2016,10.1080/10790268.2015.1114228,26,Assistive devices; ICF; Spinal cord injuries; Mobility limitation; Needs,Article,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=wos-lit-review_kkk&SrcAuth=WosAPI&KeyUT=WOS:000382266100013&DestLinkType=FullRecord&DestApp=WOS_CPL,wos_systematic_review_main
